n,algo_a,algo_b,abs_max,rel_max,rel_mean,rel_q90
64,naive_def,naive_horner,1.77809e-17,1.77809e-17,4.19281e-18,1.04083e-17
64,naive_def,brent_kung_basic,2.40693e-17,2.40693e-17,4.07804e-18,6.93889e-18
64,naive_def,brent_kung_opt,2.40693e-17,2.40693e-17,4.07804e-18,6.93889e-18
64,naive_def,brent_kung_streaming,1.38778e-17,1.38778e-17,1.69068e-18,3.46945e-18
64,naive_def,brent_kung_tuned_m,2.40693e-17,2.40693e-17,4.07804e-18,6.93889e-18
64,naive_def,kl_basic,4.51028e-17,4.51028e-17,6.1088e-18,1.38778e-17
64,naive_def,kl_inplace,4.51028e-17,4.51028e-17,6.1088e-18,1.38778e-17
64,naive_def,kl_truncated_mul,4.68375e-17,4.68375e-17,8.73672e-18,2.02963e-17
64,naive_def,kl_packed_pq,4.68375e-17,4.68375e-17,8.73672e-18,2.02963e-17
64,naive_def,kl_threshold,4.68375e-17,4.68375e-17,8.73672e-18,2.02963e-17
64,naive_def,kl_tellegen,9.66241e-16,9.66241e-16,1.01765e-16,1.64127e-16
64,naive_def,kl_tellegen_xy,9.66241e-16,9.66241e-16,1.01765e-16,1.64127e-16
64,naive_horner,brent_kung_basic,1.38778e-17,1.38778e-17,3.13106e-18,6.93889e-18
64,naive_horner,brent_kung_opt,1.38778e-17,1.38778e-17,3.13106e-18,6.93889e-18
64,naive_horner,brent_kung_streaming,1.79978e-17,1.79978e-17,4.01324e-18,6.93889e-18
64,naive_horner,brent_kung_tuned_m,1.38778e-17,1.38778e-17,3.13106e-18,6.93889e-18
64,naive_horner,kl_basic,2.77556e-17,2.77556e-17,6.80506e-18,1.38778e-17
64,naive_horner,kl_inplace,2.77556e-17,2.77556e-17,6.80506e-18,1.38778e-17
64,naive_horner,kl_truncated_mul,4.85723e-17,4.85723e-17,8.93916e-18,2.14238e-17
64,naive_horner,kl_packed_pq,4.85723e-17,4.85723e-17,8.93916e-18,2.14238e-17
64,naive_horner,kl_threshold,4.85723e-17,4.85723e-17,8.93916e-18,2.14238e-17
64,naive_horner,kl_tellegen,9.62772e-16,9.62772e-16,1.0238e-16,1.69049e-16
64,naive_horner,kl_tellegen_xy,9.62772e-16,9.62772e-16,1.0238e-16,1.69049e-16
64,brent_kung_basic,brent_kung_opt,0.0,0.0,0.0,0.0
64,brent_kung_basic,brent_kung_streaming,2.42861e-17,2.42861e-17,3.32926e-18,6.93889e-18
64,brent_kung_basic,brent_kung_tuned_m,0.0,0.0,0.0,0.0
64,brent_kung_basic,kl_basic,2.77556e-17,2.77556e-17,5.49343e-18,1.16877e-17
64,brent_kung_basic,kl_inplace,2.77556e-17,2.77556e-17,5.49343e-18,1.16877e-17
64,brent_kung_basic,kl_truncated_mul,5.20417e-17,5.20417e-17,9.39275e-18,2.02963e-17
64,brent_kung_basic,kl_packed_pq,5.20417e-17,5.20417e-17,9.39275e-18,2.02963e-17
64,brent_kung_basic,kl_threshold,5.20417e-17,5.20417e-17,9.39275e-18,2.02963e-17
64,brent_kung_basic,kl_tellegen,9.66241e-16,9.66241e-16,1.02664e-16,1.68528e-16
64,brent_kung_basic,kl_tellegen_xy,9.66241e-16,9.66241e-16,1.02664e-16,1.68528e-16
64,brent_kung_opt,brent_kung_streaming,2.42861e-17,2.42861e-17,3.32926e-18,6.93889e-18
64,brent_kung_opt,brent_kung_tuned_m,0.0,0.0,0.0,0.0
64,brent_kung_opt,kl_basic,2.77556e-17,2.77556e-17,5.49343e-18,1.16877e-17
